,sepal_length,sepal_width,petal_length,petal_width,petal_area,sepal_area
0,5.1,3.5,1.4,0.2,0.27999999999999997,17.849999999999998
2,4.7,3.2,1.3,0.2,0.26,15.040000000000001
4,5.0,3.6,1.4,0.2,0.27999999999999997,18.0
5,5.4,3.9,1.7,0.4,0.68,21.060000000000002
6,4.6,3.4,1.4,0.3,0.42,15.639999999999999
7,5.0,3.4,1.5,0.2,0.30000000000000004,17.0
9,4.9,3.1,1.5,0.1,0.15000000000000002,15.190000000000001
10,5.4,3.7,1.5,0.2,0.30000000000000004,19.980000000000004
11,4.8,3.4,1.6,0.2,0.32000000000000006,16.32
14,5.8,4.0,1.2,0.2,0.24,23.2
15,5.7,4.4,1.5,0.4,0.6000000000000001,25.080000000000002
16,5.4,3.9,1.3,0.4,0.52,21.060000000000002
17,5.1,3.5,1.4,0.3,0.42,17.849999999999998
18,5.7,3.8,1.7,0.3,0.51,21.66
19,5.1,3.8,1.5,0.3,0.44999999999999996,19.38
20,5.4,3.4,1.7,0.2,0.34,18.36
21,5.1,3.7,1.5,0.4,0.6000000000000001,18.87
22,4.6,3.6,1.0,0.2,0.2,16.56
23,5.1,3.3,1.7,0.5,0.85,16.83
24,4.8,3.4,1.9,0.2,0.38,16.32
26,5.0,3.4,1.6,0.4,0.6400000000000001,17.0
27,5.2,3.5,1.5,0.2,0.30000000000000004,18.2
28,5.2,3.4,1.4,0.2,0.27999999999999997,17.68
29,4.7,3.2,1.6,0.2,0.32000000000000006,15.040000000000001
31,5.4,3.4,1.5,0.4,0.6000000000000001,18.36
32,5.2,4.1,1.5,0.1,0.15000000000000002,21.32
33,5.5,4.2,1.4,0.2,0.27999999999999997,23.1
34,4.9,3.1,1.5,0.1,0.15000000000000002,15.190000000000001
35,5.0,3.2,1.2,0.2,0.24,16.0
36,5.5,3.5,1.3,0.2,0.26,19.25
37,4.9,3.1,1.5,0.1,0.15000000000000002,15.190000000000001
39,5.1,3.4,1.5,0.2,0.30000000000000004,17.34
40,5.0,3.5,1.3,0.3,0.39,17.5
43,5.0,3.5,1.6,0.6,0.96,17.5
44,5.1,3.8,1.9,0.4,0.76,19.38
46,5.1,3.8,1.6,0.2,0.32000000000000006,19.38
48,5.3,3.7,1.5,0.2,0.30000000000000004,19.61
49,5.0,3.3,1.4,0.2,0.27999999999999997,16.5
50,7.0,3.2,4.7,1.4,6.58,22.400000000000002
51,6.4,3.2,4.5,1.5,6.75,20.480000000000004
52,6.9,3.1,4.9,1.5,7.3500000000000005,21.39
54,6.5,2.8,4.6,1.5,6.8999999999999995,18.2
55,5.7,2.8,4.5,1.3,5.8500000000000005,15.959999999999999
56,6.3,3.3,4.7,1.6,7.5200000000000005,20.79
58,6.6,2.9,4.6,1.3,5.9799999999999995,19.139999999999997
61,5.9,3.0,4.2,1.5,6.300000000000001,17.700000000000003
63,6.1,2.9,4.7,1.4,6.58,17.689999999999998
64,5.6,2.9,3.6,1.3,4.680000000000001,16.24
65,6.7,3.1,4.4,1.4,6.16,20.77
66,5.6,3.0,4.5,1.5,6.75,16.799999999999997
67,5.8,2.7,4.1,1.0,4.1,15.66
70,5.9,3.2,4.8,1.8,8.64,18.880000000000003
71,6.1,2.8,4.0,1.3,5.2,17.08
72,6.3,2.5,4.9,1.5,7.3500000000000005,15.75
73,6.1,2.8,4.7,1.2,5.64,17.08
74,6.4,2.9,4.3,1.3,5.59,18.56
75,6.6,3.0,4.4,1.4,6.16,19.799999999999997
76,6.8,2.8,4.8,1.4,6.72,19.04
77,6.7,3.0,5.0,1.7,8.5,20.1
78,6.0,2.9,4.5,1.5,6.75,17.4
82,5.8,2.7,3.9,1.2,4.68,15.66
83,6.0,2.7,5.1,1.6,8.16,16.200000000000003
84,5.4,3.0,4.5,1.5,6.75,16.200000000000003
85,6.0,3.4,4.5,1.6,7.2,20.4
86,6.7,3.1,4.7,1.5,7.050000000000001,20.77
88,5.6,3.0,4.1,1.3,5.33,16.799999999999997
91,6.1,3.0,4.6,1.4,6.4399999999999995,18.299999999999997
92,5.8,2.6,4.0,1.2,4.8,15.08
94,5.6,2.7,4.2,1.3,5.460000000000001,15.12
95,5.7,3.0,4.2,1.2,5.04,17.1
96,5.7,2.9,4.2,1.3,5.460000000000001,16.53
97,6.2,2.9,4.3,1.3,5.59,17.98
99,5.7,2.8,4.1,1.3,5.33,15.959999999999999
100,6.3,3.3,6.0,2.5,15.0,20.79
101,5.8,2.7,5.1,1.9,9.69,15.66
102,7.1,3.0,5.9,2.1,12.39,21.299999999999997
103,6.3,2.9,5.6,1.8,10.08,18.27
104,6.5,3.0,5.8,2.2,12.76,19.5
105,7.6,3.0,6.6,2.1,13.86,22.799999999999997
107,7.3,2.9,6.3,1.8,11.34,21.169999999999998
108,6.7,2.5,5.8,1.8,10.44,16.75
109,7.2,3.6,6.1,2.5,15.25,25.92
110,6.5,3.2,5.1,2.0,10.2,20.8
111,6.4,2.7,5.3,1.9,10.069999999999999,17.28
112,6.8,3.0,5.5,2.1,11.55,20.4
114,5.8,2.8,5.1,2.4,12.239999999999998,16.24
115,6.4,3.2,5.3,2.3,12.19,20.480000000000004
116,6.5,3.0,5.5,1.8,9.9,19.5
117,7.7,3.8,6.7,2.2,14.740000000000002,29.259999999999998
118,7.7,2.6,6.9,2.3,15.87,20.02
120,6.9,3.2,5.7,2.3,13.11,22.080000000000002
121,5.6,2.8,4.9,2.0,9.8,15.679999999999998
122,7.7,2.8,6.7,2.0,13.4,21.56
123,6.3,2.7,4.9,1.8,8.82,17.01
124,6.7,3.3,5.7,2.1,11.97,22.11
125,7.2,3.2,6.0,1.8,10.8,23.040000000000003
126,6.2,2.8,4.8,1.8,8.64,17.36
127,6.1,3.0,4.9,1.8,8.82,18.299999999999997
128,6.4,2.8,5.6,2.1,11.76,17.919999999999998
129,7.2,3.0,5.8,1.6,9.28,21.6
130,7.4,2.8,6.1,1.9,11.589999999999998,20.72
131,7.9,3.8,6.4,2.0,12.8,30.02
